ロード量,salt_LiTFSI,salt_LiFSI,salt_LiPF6,salt_LiDFOB,sol_FEC,sol_DME,sol_ClEC,sol_SL,sol_EC,sol_D2,sol_D11,sol_EME,sol_FME,sol_EMC,sol_DMC,sol_DEC,sol_HFE,additive_lifsi,additive_vc,additive_fec,additive_mlidfob,additive_cm5m,act_h2o2msc,act_lr23,act_msc_30ss,act_msc_benzene,act_一次resin,act_二次resin,act_急冷msc,add_ab_hs_100_,add_ab_li435_,add_ab_li435_hemin,add_cnt,add_tib,bind_cmc,bind_paa_li東亞,bind_paa_ppt,bind_sbr,bind_ポリアクリル酸_paa_,bind_ポリグルタミン酸_ppt_
-0.26700702,0.021151252,-0.045833472,0.002181292,0.03600085,0.26861307,0.14624228,-0.058274183,0.0022687556,0.0014067483,0.0027354546,-0.003073927,0.00012011282,-0.0005104992,9.0732567e-07,0.00034353367,-2.5462468e-06,-8.8053e-06,0.0018809694,0.0004470192,0.020177228,1.7627888e-06,0.0011761273,-0.015106697,0.0,0.011548452,0.017258521,0.011999034,0.010865828,-0.0026280575,-0.04536601,0.010170611,-0.0007164349,6.565037e-05,3.4710494e-05,0.02703152,-0.0056304866,0.04838236,1.8405912e-05,0.004712418,0.035020243
-0.16990934,0.022476455,-0.044728383,0.002335049,0.03600085,0.27719557,0.15369917,-0.06166743,0.002367439,0.0014069608,0.003965134,-0.003073927,0.00012011282,-0.0004706492,9.857381e-07,0.00034353367,-2.561764e-06,-8.8053e-06,0.010385827,0.00069477165,0.020635787,1.653819e-06,0.0012259292,-0.014098005,0.0,0.020008639,0.017484523,0.012029238,0.010949513,-0.0024769404,-0.046116784,0.008219546,-0.0007497415,6.565037e-05,3.4710494e-05,0.031107297,-0.0054888884,0.046598785,1.8730145e-05,0.0004746104,0.032722622
-0.16395292,0.02050054,-0.22292128,0.0021183898,0.009109868,0.2462851,0.11996548,-0.07281277,0.0019406689,0.0019079287,0.016437957,-0.0011008101,0.00012552971,-0.00065990834,-7.803911e-08,0.0003474654,-2.561764e-06,-5.1063694e-06,-0.0027509597,0.0011716975,0.024326863,4.5606703e-06,0.0010089257,-0.020912591,0.0,-0.19995895,0.01716279,0.011910421,0.009054354,-0.0032561047,-0.07048985,0.010219801,-0.0007474279,0.00013074544,4.7486832e-05,-0.12424631,-0.010607998,-0.018976584,-0.00062638114,-0.001005938,0.026780553
-0.23364787,0.022245448,-0.0512658,0.0022199529,0.0359104,0.36023533,0.16182362,-0.08391926,0.0025114527,0.0014069608,0.010425604,-0.003432213,0.0001338306,-0.000488395,1.4852882e-06,0.0003778745,-2.561764e-06,-8.8053e-06,0.011467545,0.0011444745,0.019246798,1.4703043e-06,0.0012014213,-0.0073442752,0.0,0.026678892,0.01639419,0.010503993,0.008746906,-0.0025481668,-0.042527553,0.02215238,-0.0026873797,6.565037e-05,3.4710494e-05,0.025827065,-0.006321331,-0.01806872,5.836811e-05,0.00016168675,-0.040976718
0.185708,-0.070287436,1.8104364,0.0021550623,-0.024799097,-0.08620106,-0.68106246,-0.06281091,0.0015108181,0.0085621355,0.008025785,-0.002666967,0.00013580649,-0.00054558157,-2.747111e-05,0.00039284985,-2.6179796e-06,-3.804922e-05,-0.00016708954,0.00038804358,0.21483855,1.1928827e-06,0.0007295124,-0.0019657924,0.0,-0.02179364,0.008953822,-0.004311102,0.003833877,-0.0019080075,-0.47884893,-0.015195311,-0.00069115596,-0.007817665,9.452698e-05,0.0043453304,-0.002530902,-0.01758319,5.4004708e-05,-0.00078579393,-0.060657352
-0.20411687,0.020870794,-0.08403933,0.0023162044,0.035853554,0.33161014,0.15174451,-0.06491266,0.0022992545,0.001997602,0.014819648,-0.0031952115,0.00012338068,-0.00049785944,3.7141987e-07,0.00034688367,-2.5462468e-06,-5.1063694e-06,0.008828446,0.0017786042,0.026900083,2.2093738e-05,0.0010349947,-0.0139038395,0.0,0.02196331,0.017093884,0.011842033,0.008738407,-0.0026298633,0.04133444,-0.0013698445,-0.00071436976,6.565037e-05,5.582841e-05,-0.03283469,-0.0055374866,-0.02047454,-8.856037e-05,0.018104402,0.04117835
-0.25619027,0.016711498,-0.09322431,0.0019772935,0.035285663,-0.09343603,0.051745318,-0.12879278,0.0018958155,0.0014072388,-0.011825032,-0.0035006523,0.00012503078,-0.00050444086,4.696054e-07,0.00035916726,-2.5462468e-06,-8.8053e-06,-0.00018093587,0.00015688474,0.017700111,1.7949488e-06,0.0011236968,-0.012646322,0.0,-0.00097614183,0.016242463,0.008617894,0.008944047,-0.0029997795,-0.02645636,0.024090203,-0.0007974906,6.565037e-05,3.4710494e-05,0.01826081,-0.0061979233,-0.039165888,3.792682e-05,0.09515949,0.051532652
-0.28907812,0.021913555,-0.080739945,0.0019379975,0.03561453,-0.08697597,0.049884856,-0.103020124,0.0022092077,0.0014069661,-0.014103806,-0.0035909507,0.00011669993,-0.00051296334,9.884759e-07,0.0003471138,-2.561764e-06,-8.8053e-06,-0.0016014526,0.00017364962,0.017889764,1.3051734e-06,0.0011104908,-0.016125105,0.0,-0.0082705915,0.016728494,0.009032191,0.019769829,-0.0029695274,-0.04084616,0.020958435,-0.00084556884,6.565037e-05,3.4710494e-05,0.016641099,-0.0063187764,0.1025282,0.00019512666,-0.0010893863,0.037497655
-0.19100016,0.019693868,-0.13953124,0.0020117306,0.03586149,-0.109054536,0.032699164,-0.14563456,0.0021331434,0.001997314,0.0036706226,-0.003523612,0.00012110166,-0.0005118402,1.9551274e-07,0.0003365072,-2.561764e-06,-5.1063694e-06,-0.0016968419,0.000786843,0.025878035,1.9817247e-05,0.0010039349,-0.012901967,0.0,-0.003135144,0.016936721,0.008121911,0.009280608,-0.0032210008,0.012675982,-0.014215486,-0.0008435037,6.565037e-05,5.582841e-05,-0.041472454,-0.006093293,-0.052639958,-0.00022499183,-0.002557485,0.059493147
-0.2200458,0.021204202,-0.083581455,0.0022656447,0.035853554,0.33681127,0.1533017,-0.06791475,0.0022381328,0.0019974974,0.006998773,-0.003491535,0.00012338068,-0.0005183374,2.8867922e-07,0.00034688367,-2.561764e-06,-5.1063694e-06,-0.0022974457,0.0018275799,0.027128842,-0.0003296647,0.001060482,-0.013727647,0.0,0.021460867,0.017319886,0.011872238,0.008609044,-0.002585868,0.034183588,-0.004467458,-0.00076479977,6.565037e-05,5.582841e-05,-0.06289309,-0.0053950846,-0.020106887,-0.00021742441,0.00019107539,0.039295916
